HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers	RefSeq IDs	Enzyme IDs	NCBI Gene ID	Ensembl gene ID	Mouse genome database ID	Locus type
HGNC:33842	AARD	Approved	C8orf85	LOC441376	8q24.11	AB181519, BC140924	NM_001025357		441376	ENSG00000205002	MGI:2181621	gene with protein product
HGNC:20	AARS1	Approved	AARS	CMT2N, AlaRS	16q22.1	D32050	NM_001605	6.1.1.7	16	ENSG00000090861	MGI:2384560	gene with protein product
HGNC:49894	AARS1P1	Approved	AARSP1		4q28.3				106480683	ENSG00000249038		pseudogene
HGNC:21022	AARS2	Approved	AARSL	KIAA1270, bA444E17.1	6p21.1	AB033096	NM_020745	6.1.1.7	57505	ENSG00000124608	MGI:2681839	gene with protein product
HGNC:28417	AARSD1	Approved		MGC2744, AlaXp	17q21.31	BC004172	NM_001261434		80755	ENSG00000266967	MGI:1916934	gene with protein product
HGNC:54994	AARSD1P1	Approved			Xq13.2					ENSG00000234969		pseudogene
HGNC:23993	AASDH	Approved		NRPS998, LYS2, ACSF4	4q12	AF516672	NM_181806	1.2.1.31	132949	ENSG00000157426	MGI:2442517	gene with protein product
HGNC:14235	AASDHPPT	Approved		LYS5, CGI-80, AASD-PPT, ACPS	11q22.3	AF302110	NM_015423	2.7.8.7	60496	ENSG00000149313	MGI:1914868	gene with protein product
HGNC:17366	AASS	Approved		LORSDH, LKRSDH	7q31.32	AF229180	NM_005763	1.5.1.8, 1.5.1.9	10157	ENSG00000008311	MGI:1353573	gene with protein product
HGNC:51526	AATBC	Approved			21q22.3		NR_026961		284837	ENSG00000215458		RNA, long non-coding
HGNC:19235	AATF	Approved		DED, CHE-1, CHE1, BFR2	17q12	AF083208	NM_012138		26574	ENSG00000275700	MGI:1929608	gene with protein product
HGNC:21	AATK	Approved		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	AB014541	NM_004920		9625	ENSG00000181409	MGI:1197518	gene with protein product
HGNC:22	AAVS1	Approved		AAV	19q13	S51329			17			virus integration site
HGNC:49667	ABALON	Approved		INXS	20q11.21	KC505631	NR_131907		103021294	ENSG00000281376		RNA, long non-coding
HGNC:23	ABAT	Approved		GABAT, GABA-T	16p13.2	L32961	NM_020686	2.6.1.19	18	ENSG00000183044	MGI:2443582	gene with protein product
HGNC:24	ABC1	Symbol Withdrawn										unknown
HGNC:25	ABC2	Symbol Withdrawn										unknown
HGNC:26	ABC3	Symbol Withdrawn										unknown
HGNC:28	ABC7	Symbol Withdrawn										unknown
HGNC:27	ABC50	Symbol Withdrawn										unknown
HGNC:29	ABCA1	Approved	ABC1, HDLDT1	TGD	9q31.1	AJ012376	NM_005502		19	ENSG00000165029	MGI:99607	gene with protein product
HGNC:32	ABCA2	Approved	ABC2		9q34.3	U18235	NM_001606		20	ENSG00000107331	MGI:99606	gene with protein product
HGNC:33	ABCA3	Approved	ABC3	ABC-C, EST111653, LBM180	16p13.3	U78735	NM_001089		21	ENSG00000167972	MGI:1351617	gene with protein product
HGNC:55707	ABCA3P1	Approved			16p12.2		NG_022511		342293	ENSG00000257408		pseudogene
HGNC:34	ABCA4	Approved	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22.1	U88667	NM_000350		24	ENSG00000198691	MGI:109424	gene with protein product
HGNC:35	ABCA5	Approved		EST90625	17q24.3	U66672	NM_018672		23461	ENSG00000154265	MGI:2386607	gene with protein product
HGNC:36	ABCA6	Approved		EST155051	17q24.2-q24.3	U66680	NM_080284		23460	ENSG00000154262	MGI:1923434	gene with protein product
HGNC:37	ABCA7	Approved		ABCX	19p13.3	AF328787	NM_019112		10347	ENSG00000064687	MGI:1351646	gene with protein product
HGNC:38	ABCA8	Approved		KIAA0822	17q24.2	AB020629	NM_007168		10351	ENSG00000141338	MGI:1351668, MGI:2386846	gene with protein product
HGNC:39	ABCA9	Approved		EST640918	17q24.2	AF423307	NM_172386		10350	ENSG00000154258	MGI:2386796	gene with protein product
HGNC:39983	ABCA9-AS1	Approved			17q24.2					ENSG00000231749		RNA, long non-coding
HGNC:30	ABCA10	Approved		EST698739	17q24.3	AY247065	NM_080282		10349	ENSG00000154263		gene with protein product
HGNC:31	ABCA11P	Approved	ABCA11	EST1133530, FLJ14297	4p16.3	AK024359	NR_002451.2		79963	ENSG00000251595		pseudogene
HGNC:14637	ABCA12	Approved	ICR2B	DKFZP434G232, LI2	2q35	AF418105	NM_173076		26154	ENSG00000144452	MGI:2676312	gene with protein product
HGNC:14638	ABCA13	Approved		FLJ33876, FLJ33951	7p12.3	AY204751	NM_152701		154664	ENSG00000179869	MGI:2388707	gene with protein product
HGNC:34405	ABCA15P	Approved	NCRNA00169, CRYM-AS1	FLJ41766	16p12.2		NR_026675		400508	ENSG00000189149	MGI:2388709	pseudogene
HGNC:32972	ABCA17P	Approved			16p13.3	DQ266102	NR_003574		650655	ENSG00000238098	MGI:3625331	pseudogene
HGNC:40	ABCB1	Approved	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20, p-170, PGY1	7q21.12	M14758	NM_000927		5243	ENSG00000085563	MGI:97570, MGI:97568	gene with protein product
HGNC:11563	ABCB2	Symbol Withdrawn										unknown
HGNC:11564	ABCB3	Symbol Withdrawn										unknown
HGNC:45	ABCB4	Approved	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21.12	M23234	NM_000443		5244	ENSG00000005471	MGI:97569	gene with protein product
HGNC:46	ABCB5	Approved		EST422562, ABCB5beta, ABCB5alpha	7p21.1	U66692	NM_178559		340273	ENSG00000004846	MGI:1924956	gene with protein product
HGNC:47	ABCB6	Approved		EST45597, umat, MTABC3	2q35	AF070598	NM_005689		10058	ENSG00000115657	MGI:1921354	gene with protein product
HGNC:48	ABCB7	Approved	ABC7	EST140535, Atm1p, ASAT	Xq13.3	AF038950	NM_004299		22	ENSG00000131269	MGI:109533	gene with protein product
HGNC:49	ABCB8	Approved		EST328128, M-ABC1, MABC1, MITOSUR	7q36.1	AF047690	NM_007188		11194	ENSG00000197150	MGI:1351667	gene with protein product
HGNC:50	ABCB9	Approved		EST122234	12q24.31	U66676	NM_019624		23457	ENSG00000150967	MGI:1861729	gene with protein product
HGNC:41	ABCB10	Approved		EST20237, M-ABC2, MTABC2	1q42.13	U18237	NM_012089		23456	ENSG00000135776	MGI:1860508	gene with protein product
HGNC:14114	ABCB10P1	Approved	ABCB10P, ABCB10P2	M-ABC2, MABC2	15q11.2	AF218417	NG_005041		56476	ENSG00000274099		pseudogene
HGNC:31128	ABCB10P2	Symbol Withdrawn			15q11.2							pseudogene
HGNC:31129	ABCB10P3	Approved			15q13.1		NG_022122		728248	ENSG00000261524		pseudogene
HGNC:31130	ABCB10P4	Approved			15q13.1		NG_022102		100132289	ENSG00000260053		pseudogene
HGNC:42	ABCB11	Approved	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	2q31.1	AF091582	NM_003742		8647	ENSG00000073734	MGI:1351619	gene with protein product
HGNC:51	ABCC1	Approved	MRP, MRP1	GS-X	16p13.11	L05628	NM_004996		4363	ENSG00000103222	MGI:102676	gene with protein product
HGNC:53	ABCC2	Approved	CMOAT	DJS, MRP2, cMRP	10q24.2	U63970	NM_000392		1244	ENSG00000023839	MGI:1352447	gene with protein product
HGNC:54	ABCC3	Approved		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21.33	Y17151	NM_020038		8714	ENSG00000108846	MGI:1923658	gene with protein product
HGNC:55	ABCC4	Approved		MRP4, EST170205, MOAT-B, MOATB	13q32.1	U66682	NM_005845		10257	ENSG00000125257	MGI:2443111	gene with protein product
HGNC:56	ABCC5	Approved		MRP5, SMRP, EST277145, MOAT-C	3q27.1	AF104942	NM_005688		10057	ENSG00000114770	MGI:1351644	gene with protein product
HGNC:40055	ABCC5-AS1	Approved			3q27.1					ENSG00000223882		RNA, long non-coding
HGNC:57	ABCC6	Approved	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	AF076622			368	ENSG00000091262	MGI:1351634	gene with protein product
HGNC:33352	ABCC6P1	Approved			16p12.3	BC075833	NR_003569		653190	ENSG00000256340		pseudogene
HGNC:33353	ABCC6P2	Approved			16p13.11		NR_023387		730013	ENSG00000255277		pseudogene
HGNC:58	ABCC7	Symbol Withdrawn										unknown
HGNC:59	ABCC8	Approved	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	L78207	NM_000352		6833	ENSG00000006071	MGI:1352629	gene with protein product
HGNC:60	ABCC9	Approved		SUR2, CMD1O	12p12.1	AF061323	NM_005691		10060	ENSG00000069431	MGI:1352630	gene with protein product
HGNC:52	ABCC10	Approved		EST182763, MRP7, SIMRP7	6p21.1	U66684	NM_033450		89845	ENSG00000124574	MGI:2386976	gene with protein product
HGNC:14639	ABCC11	Approved		MRP8	16q12.1	AF367202	NM_032583		85320	ENSG00000121270		gene with protein product
HGNC:14640	ABCC12	Approved		MRP9	16q12.1	AY040220	NM_033226		94160	ENSG00000140798	MGI:2441679	gene with protein product
HGNC:16022	ABCC13	Approved		PRED6, C21orf73, ABCC13P	21q11.2	AF418600			150000	ENSG00000243064		pseudogene
HGNC:61	ABCD1	Approved	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	Z21876	NM_000033		215	ENSG00000101986	MGI:1349215	gene with protein product
HGNC:62	ABCD1P1	Approved			2p11.2	U90290			23785			pseudogene
HGNC:63	ABCD1P2	Approved		bA453N3.6	10p11.1	U90288			26983	ENSG00000215151		pseudogene
HGNC:64	ABCD1P3	Approved			16p11.2	U90289			26982	ENSG00000261233		pseudogene
HGNC:65	ABCD1P4	Approved			22q11.1	U90291			26957	ENSG00000225293		pseudogene
HGNC:42662	ABCD1P5	Approved			2p11.1				642762	ENSG00000214330		pseudogene
HGNC:66	ABCD2	Approved	ALDL1	ALDR, ALDRP	12q12	U28150	NM_005164		225	ENSG00000173208	MGI:1349467	gene with protein product
HGNC:67	ABCD3	Approved	PXMP1	PMP70, ZWS2	1p21.3	M81182	NM_002858		5825	ENSG00000117528	MGI:1349216	gene with protein product
HGNC:68	ABCD4	Approved	PXMP1L	PMP69, P70R, EST352188	14q24.3	AF009746	NM_005050		5826	ENSG00000119688	MGI:1349217	gene with protein product
HGNC:69	ABCE1	Approved	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	4q31.21	X74987	NM_002940		6059	ENSG00000164163	MGI:1195458	gene with protein product
HGNC:70	ABCF1	Approved	ABC50	EST123147	6p21.33	AF027302			23	ENSG00000204574	MGI:1351658	gene with protein product
HGNC:53628	ABCF1-DT	Approved			6p21.33				107986587			RNA, long non-coding
HGNC:71	ABCF2	Approved		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	AJ005016	NM_005692		10061	ENSG00000033050	MGI:1351657	gene with protein product
HGNC:54751	ABCF2-H2BK1	Approved	ABCF2-H2BE1		7q36.1				114483834	ENSG00000285292		readthrough
HGNC:48841	ABCF2P1	Approved			3p11.1				344653	ENSG00000242159		pseudogene
HGNC:48842	ABCF2P2	Approved			7q11.22				100422059	ENSG00000228769		pseudogene
HGNC:72	ABCF3	Approved		EST201864	3q27.1	U66685	NM_018358		55324	ENSG00000161204	MGI:1351656	gene with protein product
HGNC:73	ABCG1	Approved		ABC8	21q22.3	U34919	NM_207174		9619	ENSG00000160179	MGI:107704	gene with protein product
HGNC:74	ABCG2	Approved		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	AF103796	NM_004827		9429	ENSG00000118777	MGI:1347061	gene with protein product
HGNC:13884	ABCG4	Approved		WHITE2	11q23.3	AJ300465	NM_022169		64137	ENSG00000172350	MGI:1890594	gene with protein product
HGNC:13886	ABCG5	Approved		STSL	2p21	T93792	NM_022436		64240	ENSG00000138075	MGI:1351659	gene with protein product
HGNC:13887	ABCG8	Approved		GBD4	2p21	AF320294	NM_022437		64241	ENSG00000143921	MGI:1914720	gene with protein product
HGNC:75	ABCR	Symbol Withdrawn										unknown
HGNC:17553	ABHD1	Approved		LABH1, FLJ36128	2p23.3	AK093447	NM_032604		84696	ENSG00000143994	MGI:1931013	gene with protein product
HGNC:18717	ABHD2	Approved		LABH2	15q26.1	X12433			11057	ENSG00000140526	MGI:1914344	gene with protein product
HGNC:18718	ABHD3	Approved		LABH3	18q11.2	AK024880			171586	ENSG00000158201	MGI:2147183	gene with protein product
HGNC:20154	ABHD4	Approved		FLJ12816	14q11.2	AK022878			63874	ENSG00000100439	MGI:1915938	gene with protein product
HGNC:21396	ABHD5	Approved		CGI-58, NCIE2	3p21.33	AF007132	NM_016006		51099	ENSG00000011198	MGI:1914719	gene with protein product
HGNC:21398	ABHD6	Approved			3p14.3	AF225418	NM_020676	3.1.1.23	57406	ENSG00000163686	MGI:1913332	gene with protein product
HGNC:23759	ABHD8	Approved		FLJ11743, MGC14280, MGC2512	19p13.11	AK021805	NM_024527		79575	ENSG00000127220	MGI:1918946	gene with protein product
HGNC:25656	ABHD10	Approved		FLJ11342	3q13.2	AL713726	NM_018394		55347	ENSG00000144827	MGI:2442422	gene with protein product
HGNC:16407	ABHD11	Approved	WBSCR21	PP1226	7q11.23	AF217971			83451	ENSG00000106077	MGI:1916008	gene with protein product
HGNC:40012	ABHD11-AS2	Entry Withdrawn			7q11.23							RNA, long non-coding
HGNC:15868	ABHD12	Approved	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	AL117442	NM_015600	3.1.1.23	26090	ENSG00000100997	MGI:1923442	gene with protein product
HGNC:19837	ABHD12B	Approved	C14orf29	BEM46L3	14q22.1	BG698443			145447	ENSG00000131969	MGI:2685650	gene with protein product
HGNC:20293	ABHD13	Approved	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.3	AK027812	NM_032859		84945	ENSG00000139826	MGI:1916154	gene with protein product
HGNC:24538	ABHD14A	Approved		DKFZP564O243, DORZ1	3p21.2	AY358201	NM_015407		25864	ENSG00000248487	MGI:1915894	gene with protein product
HGNC:38856	ABHD14A-ACY1	Approved			3p21.2				100526760	ENSG00000114786		readthrough
HGNC:28235	ABHD14B	Approved		MGC15429, CIB	3p21.2	AK075112	NM_032750		84836	ENSG00000114779	MGI:1923741	gene with protein product
HGNC:26971	ABHD15	Approved			17q11.2	AK056717	NM_198147		116236	ENSG00000168792	MGI:1914727	gene with protein product
HGNC:49685	ABHD15-AS1	Approved		linc-TP53I13, lnc-TP53I13	17q11.2	CN275323				ENSG00000264031		RNA, long non-coding
HGNC:13921	ABHD16A	Approved	BAT5	NG26, D6S82E	6p21.33	AF129756			7920	ENSG00000204427	MGI:99476	gene with protein product
HGNC:16128	ABHD16B	Approved	C20orf135	dJ591C20.1	20q13.33				140701	ENSG00000183260	MGI:3607711	gene with protein product
HGNC:28756	ABHD17A	Approved	C19orf27, FAM108A1	MGC5244	19p13.3	BC020512	NM_031213		81926	ENSG00000129968	MGI:106388	gene with protein product
HGNC:28394	ABHD17AP1	Approved	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	1q21.2		NG_011738		728917	ENSG00000198658		pseudogene
HGNC:33538	ABHD17AP2	Symbol Withdrawn	FAM108A3, FAM108A11P, FAM108A3P		1q21.1							pseudogene
HGNC:34041	ABHD17AP3	Approved	FAM108A4, FAM108A4P		1q41		XR_041784		648359	ENSG00000250536		pseudogene
HGNC:34042	ABHD17AP4	Approved	FAM108A5, FAM108A5P		22q11.21				729495	ENSG00000229107		pseudogene
HGNC:34043	ABHD17AP5	Approved	FAM108A6, FAM108A6P		22q11.22				91219	ENSG00000263366		pseudogene
HGNC:34044	ABHD17AP6	Approved	FAM108A7P		17p11.2				644988	ENSG00000226981		pseudogene
HGNC:38508	ABHD17AP7	Approved	FAM108A8P		16p11.2				100133212	ENSG00000260864		pseudogene
HGNC:38509	ABHD17AP8	Approved	FAM108A9P		16p11.2				647144	ENSG00000260540		pseudogene
HGNC:38510	ABHD17AP9	Approved	FAM108A10P		16p11.2				100132251	ENSG00000261536		pseudogene
HGNC:24278	ABHD17B	Approved	C9orf77, FAM108B1	CGI-67	9q21.13	AF151825	NM_016014		51104	ENSG00000107362	MGI:1917816	gene with protein product
HGNC:26925	ABHD17C	Approved	FAM108C1		15q25.1		NM_021214		58489	ENSG00000136379	MGI:1917428	gene with protein product
HGNC:26111	ABHD18	Approved	C4orf29	FLJ21106	4q28.2	AK024759	NM_001039717		80167	ENSG00000164074	MGI:1915468	gene with protein product
HGNC:11320	ABI1	Approved	SSH3BP1	E3B1, ABI-1	10p12.1	U87166	NM_005470		10006	ENSG00000136754	MGI:104913	gene with protein product
HGNC:20035	ABI1P1	Approved	SSH3BP1P, ABI1P		14q22.3		NG_002531		326268	ENSG00000271484		pseudogene
HGNC:24011	ABI2	Approved		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33.2	AF260261	NM_005759		10152	ENSG00000138443	MGI:106913	gene with protein product
HGNC:29859	ABI3	Approved		NESH, SSH3BP3	17q21.32	AB037886	NM_016428		51225	ENSG00000108798	MGI:1913860	gene with protein product
HGNC:17265	ABI3BP	Approved		NESHBP, DKFZP586L2024, TARSH	3q12.2	AB056106			25890	ENSG00000154175	MGI:2444583	gene with protein product
HGNC:1364	ABITRAM	Approved	C9orf6, FAM206A	CG-8, FLJ20457, Simiate	9q31.3	BC015795	NM_017832		54942	ENSG00000119328	MGI:2677850	gene with protein product
HGNC:39851	ABITRAMP1	Approved	FAM206BP		13q14.13		NG_011392		390403	ENSG00000251106		pseudogene
HGNC:76	ABL1	Approved	ABL	JTK7, c-ABL, p150	9q34.12	M14752	NM_007313		25	ENSG00000097007	MGI:87859	gene with protein product
HGNC:77	ABL2	Approved	ABLL	ARG	1q25.2	M14904	NM_005158		27	ENSG00000143322	MGI:87860	gene with protein product
HGNC:78	ABLIM1	Approved	LIMAB1, ABLIM	abLIM, limatin	10q25.3	AF005654			3983	ENSG00000099204	MGI:1194500	gene with protein product
HGNC:19195	ABLIM2	Approved		KIAA1808	4p16.1	AB058711	NM_001130083		84448	ENSG00000163995	MGI:2385758	gene with protein product
HGNC:29132	ABLIM3	Approved		KIAA0843	5q32	AB020650	NM_014945		22885	ENSG00000173210	MGI:2442582	gene with protein product
HGNC:79	ABO	Approved		A3GALNT, A3GALT1	9q34.2	AF134415	NM_020469	2.4.1.40, 2.4.1.37	28	ENSG00000175164	MGI:2135738	gene with protein product
HGNC:81	ABR	Approved		MDB	17p13.3	L19704			29	ENSG00000159842	MGI:107771	gene with protein product
HGNC:55674	ABR-AS1	Approved			17p13.3				105371479	ENSG00000235361		RNA, long non-coding
HGNC:30655	ABRA	Approved		STARS	8q23.1	AF503617	NM_139166		137735	ENSG00000174429	MGI:2444891	gene with protein product
HGNC:21230	ABRACL	Approved	C6orf115	PRO2013, HSPC280, Costars	6q24.1	BC014953	NM_021243		58527	ENSG00000146386	MGI:1920362	gene with protein product
HGNC:25829	ABRAXAS1	Approved	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	4q21.23	AK023676	NM_139076		84142	ENSG00000163322	MGI:1917931	gene with protein product
HGNC:56461	ABRAXAS1P1	Approved			3q12.2		NG_025605		100421580	ENSG00000213431		pseudogene
HGNC:56462	ABRAXAS1P2	Approved			8p22		NG_022380		100133073	ENSG00000253384		pseudogene
HGNC:28975	ABRAXAS2	Approved	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	10q26.13	D63877	NM_032182		23172	ENSG00000165660	MGI:1926116	gene with protein product
HGNC:17369	ABT1	Approved		Esf2	6p22.2	AB027258			29777	ENSG00000146109	MGI:1353636	gene with protein product
HGNC:39557	ABT1P1	Approved			4q23		NG_025142		100420695	ENSG00000250496		pseudogene
HGNC:18275	ABTB1	Approved		BPOZ, EF1ABP, Btb3, BTBD21, BPOZ-2	3q21.3	AB053324	NM_172027		80325	ENSG00000114626	MGI:1933148	gene with protein product
HGNC:23842	ABTB2	Approved		DKFZP586C1619, BTBD22, ABTB2A	11p13	AK056863	NM_145804		25841	ENSG00000166016	MGI:2139365	gene with protein product
HGNC:23844	ABTB3	Approved	BTBD11	FLJ33957, ABTB2B	12q23.3	AK091276	NM_152322		121551	ENSG00000151136	MGI:1921257	gene with protein product
HGNC:82	ACAA1	Approved		Lnc-Myd88	3p22.2	X14813	NM_001607	2.3.1.16	30	ENSG00000060971	MGI:2148491, MGI:3605455	gene with protein product
HGNC:83	ACAA2	Approved		DSAEC	18q21.1	D16294	NM_006111	2.3.1.16	10449	ENSG00000167315	MGI:1098623	gene with protein product
HGNC:55880	ACAA2P1	Approved			Xp11.23				100420869	ENSG00000233585		pseudogene
HGNC:84	ACACA	Approved	ACAC, ACC	ACC1, ACC-alpha, ACCA, ACCalpha, ACACalpha, Acac1, hACC1	17q12	U19822	NM_198836	6.4.1.2	31	ENSG00000278540	MGI:108451	gene with protein product
HGNC:85	ACACB	Approved		HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta	12q24.11	U89344	NM_001093	6.4.1.2	32	ENSG00000076555	MGI:2140940	gene with protein product
HGNC:86	ACAD	Entry Withdrawn										unknown
HGNC:87	ACAD8	Approved			11q25	AF126245	NM_014384	1.3.8.-	27034	ENSG00000151498	MGI:1914198	gene with protein product
HGNC:21497	ACAD9	Approved		NPD002, MGC14452	3q21.3	AF078854	NM_014049	1.3.8.-	28976	ENSG00000177646	MGI:1914272	gene with protein product
HGNC:56086	ACAD9-DT	Approved			3q21.3				123706524	ENSG00000287110		RNA, long non-coding
HGNC:21597	ACAD10	Approved		MGC5601	12q24.12	AY323912	NM_025247	1.3.99.-	80724	ENSG00000111271	MGI:1919235	gene with protein product
HGNC:30211	ACAD11	Approved		FLJ12592	3q22.1	BC019607	NM_032169	1.3.8.-	84129	ENSG00000240303	MGI:2143169	gene with protein product
HGNC:88	ACADL	Approved		LCAD, ACAD4	2q34	M74096	NM_001608	1.3.8.8	33	ENSG00000115361	MGI:87866	gene with protein product
HGNC:89	ACADM	Approved		MCAD, MCADH, ACAD1	1p31.1	M16827		1.3.8.7	34	ENSG00000117054	MGI:87867	gene with protein product
HGNC:90	ACADS	Approved		SCAD, ACAD3	12q24.31	M26393	NM_000017	1.3.8.1	35	ENSG00000122971	MGI:87868	gene with protein product
HGNC:91	ACADSB	Approved		SBCAD, ACAD7	10q26.13	U12778	NM_001609	1.3.8.5	36	ENSG00000196177	MGI:1914135	gene with protein product
HGNC:92	ACADVL	Approved		VLCAD, LCACD, ACAD6	17p13.1	BC012912	NM_000018	1.3.8.9	37	ENSG00000072778	MGI:895149	gene with protein product
HGNC:319	ACAN	Approved	MSK16, CSPG1, AGC1	CSPGCP	15q26.1	M55172	NM_001135		176	ENSG00000157766	MGI:99602	gene with protein product
HGNC:16467	ACAP1	Approved	CENTB1	KIAA0050	17p13.1	D30758	NM_014716		9744	ENSG00000072818	MGI:2388270	gene with protein product
HGNC:16469	ACAP2	Approved	CENTB2	KIAA0041, CNT-B2	3q29		NM_012287		23527	ENSG00000114331	MGI:1925868	gene with protein product
